"Assay",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax","grp"
"IFN-gamma","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,30,0.065,0.21125,"ns",14.44348,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"IFN-gamma","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,14,0.589,0.7657,"ns",16.56504,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"IFN-gamma","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,0,0.002,0.00742857142857143,"**",18.6866,5,7,"CD19 CAR_EGFRvIII CAR"
"IFN-gamma","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,3,0.015,0.0557142857142857,"ns",20.80816,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"IFN-gamma","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,2,0.009,0.117,"ns",22.92972,5,6,"CD19 CAR_CD19-SGRP CAR"
"IFN-gamma","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,8,0.132,0.2145,"ns",25.05128,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"IFN-gamma","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,0,0.002,0.026,"*",27.17284,4,8,"aCD47_EGFRvIII CAR + aCD47"
"TNFSF14","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,33,0.015,0.065,"ns",4.87348,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"TNFSF14","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,23,0.485,0.7657,"ns",6.99504,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"TNFSF14","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,0,0.002,0.00742857142857143,"**",9.1166,5,7,"CD19 CAR_EGFRvIII CAR"
"TNFSF14","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,0,0.002,0.0104,"*",11.23816,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"TNFSF14","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,17,0.937,0.97448,"ns",13.35972,5,6,"CD19 CAR_CD19-SGRP CAR"
"TNFSF14","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,0,0.002,0.0173333333333333,"*",15.48128,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"TNFSF14","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,4,0.026,0.112666666666667,"ns",17.60284,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CCL3","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,27,0.18,0.246315789473684,"ns",2.47548,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CCL3","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,0,0.002,0.052,"ns",4.59704,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CCL3","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,6,0.065,0.112666666666667,"ns",6.7186,5,7,"CD19 CAR_EGFRvIII CAR"
"CCL3","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,0,0.002,0.0104,"*",8.84016,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CCL3","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,15,0.699,0.9087,"ns",10.96172,5,6,"CD19 CAR_CD19-SGRP CAR"
"CCL3","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,0,0.002,0.0173333333333333,"*",13.08328,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CCL3","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,17,0.937,1,"ns",15.20484,4,8,"aCD47_EGFRvIII CAR + aCD47"
"GZMA","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,36,0.002,0.0173333333333333,"*",1.69648,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"GZMA","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,21,0.699,0.826090909090909,"ns",3.81804,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"GZMA","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,0,0.002,0.00742857142857143,"**",5.9396,5,7,"CD19 CAR_EGFRvIII CAR"
"GZMA","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,0,0.002,0.0104,"*",8.06116,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"GZMA","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,15,0.699,0.9087,"ns",10.18272,5,6,"CD19 CAR_CD19-SGRP CAR"
"GZMA","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,1,0.004,0.0208,"*",12.30428,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"GZMA","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,19,0.937,1,"ns",14.42584,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CD5","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,28,0.132,0.246315789473684,"ns",3.56748,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CD5","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,28,0.132,0.429,"ns",5.68904,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CD5","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,0,0.002,0.00742857142857143,"**",7.8106,5,7,"CD19 CAR_EGFRvIII CAR"
"CD5","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,13,0.485,0.548260869565217,"ns",9.93216,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CD5","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,8,0.132,0.490285714285714,"ns",12.05372,5,6,"CD19 CAR_CD19-SGRP CAR"
"CD5","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,18,1,1,"ns",14.17528,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CD5","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,0,0.002,0.026,"*",16.29684,4,8,"aCD47_EGFRvIII CAR + aCD47"
"TNFRSF4","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,36,0.002,0.0173333333333333,"*",2.05648,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"TNFRSF4","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,17,0.937,0.97448,"ns",4.17804,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"TNFRSF4","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,2,0.009,0.02925,"*",6.2996,5,7,"CD19 CAR_EGFRvIII CAR"
"TNFRSF4","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,5,0.041,0.0969090909090909,"ns",8.42116,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"TNFRSF4","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,13,0.485,0.788125,"ns",10.54272,5,6,"CD19 CAR_CD19-SGRP CAR"
"TNFRSF4","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,0,0.002,0.0173333333333333,"*",12.66428,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"TNFRSF4","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,4,0.026,0.112666666666667,"ns",14.78584,4,8,"aCD47_EGFRvIII CAR + aCD47"
"IL8","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,9,0.18,0.246315789473684,"ns",6.18148,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"IL8","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,31,0.041,0.2132,"ns",8.30304,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"IL8","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,29,0.093,0.151125,"ns",10.4246,5,7,"CD19 CAR_EGFRvIII CAR"
"IL8","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,36,0.002,0.0104,"*",12.54616,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"IL8","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,19,0.937,0.97448,"ns",14.66772,5,6,"CD19 CAR_CD19-SGRP CAR"
"IL8","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,34,0.009,0.0334285714285714,"*",16.78928,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"IL8","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,25,0.31,0.62,"ns",18.91084,4,8,"aCD47_EGFRvIII CAR + aCD47"
"KLRD1","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,36,0.002,0.0173333333333333,"*",1.94948,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"KLRD1","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,28,0.132,0.429,"ns",4.07104,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"KLRD1","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,0,0.002,0.00742857142857143,"**",6.1926,5,7,"CD19 CAR_EGFRvIII CAR"
"KLRD1","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,4,0.026,0.0845,"ns",8.31416,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"KLRD1","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,23,0.485,0.788125,"ns",10.43572,5,6,"CD19 CAR_CD19-SGRP CAR"
"KLRD1","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,9,0.18,0.246315789473684,"ns",12.55728,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"KLRD1","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,15,0.699,1,"ns",14.67884,4,8,"aCD47_EGFRvIII CAR + aCD47"
"HGF","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,18,1,1,"ns",3.74348,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"HGF","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,31,0.041,0.2132,"ns",5.86504,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"HGF","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,18,1,1,"ns",7.9866,5,7,"CD19 CAR_EGFRvIII CAR"
"HGF","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,34,0.009,0.039,"*",10.10816,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"HGF","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,16,0.818,0.966727272727273,"ns",12.22972,5,6,"CD19 CAR_CD19-SGRP CAR"
"HGF","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,30,0.065,0.187777777777778,"ns",14.35128,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"HGF","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,32,0.026,0.112666666666667,"ns",16.47284,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CXCL11","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,9,0.18,0.246315789473684,"ns",4.69548,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CXCL11","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,20,0.818,0.924695652173913,"ns",6.81704,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CXCL11","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,5,0.041,0.082,"ns",8.9386,5,7,"CD19 CAR_EGFRvIII CAR"
"CXCL11","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,10,0.24,0.346666666666667,"ns",11.06016,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CXCL11","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,18,1,1,"ns",13.18172,5,6,"CD19 CAR_CD19-SGRP CAR"
"CXCL11","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,26,0.24,0.312,"ns",15.30328,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CXCL11","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,1,0.004,0.0346666666666667,"*",17.42484,4,8,"aCD47_EGFRvIII CAR + aCD47"
"IL13","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,19,0.937,0.97448,"ns",3.95548,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"IL13","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,4,0.026,0.2132,"ns",6.07704,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"IL13","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,9,0.18,0.246315789473684,"ns",8.1986,5,7,"CD19 CAR_EGFRvIII CAR"
"IL13","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,5,0.041,0.0969090909090909,"ns",10.32016,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"IL13","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,0,0.002,0.052,"ns",12.44172,5,6,"CD19 CAR_CD19-SGRP CAR"
"IL13","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,1,0.004,0.0208,"*",14.56328,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"IL13","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,12,0.394,0.682933333333333,"ns",16.68484,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CD27","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,34,0.009,0.0468,"*",2.82148,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CD27","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,34,0.009,0.117,"ns",4.94304,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CD27","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,4,0.026,0.0614545454545455,"ns",7.0646,5,7,"CD19 CAR_EGFRvIII CAR"
"CD27","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,21,0.699,0.699,"ns",9.18616,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CD27","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,20,0.818,0.966727272727273,"ns",11.30772,5,6,"CD19 CAR_CD19-SGRP CAR"
"CD27","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,16,0.818,0.886166666666667,"ns",13.42928,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CD27","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,17,0.937,1,"ns",15.55084,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CD28","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,29,0.093,0.246315789473684,"ns",1.28848,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CD28","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,22,0.589,0.7657,"ns",3.41004,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CD28","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,32,0.026,0.0614545454545455,"ns",5.5316,5,7,"CD19 CAR_EGFRvIII CAR"
"CD28","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,28,0.132,0.245142857142857,"ns",7.65316,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CD28","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,23,0.485,0.788125,"ns",9.77472,5,6,"CD19 CAR_CD19-SGRP CAR"
"CD28","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,8,0.132,0.2145,"ns",11.89628,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
